Region,InstanceType,OnDemand_Hourly,Spot_Hourly,EC2_SP_1yr_Hourly,EC2_SP_3yr_Hourly,Compute_SP_1yr_Hourly,Compute_SP_3yr_Hourly,RI_1yr_NoUpfront,RI_3yr_NoUpfront,RI_1yr_PartialUpfront,RI_3yr_PartialUpfront,RI_1yr_AllUpfront,RI_3yr_AllUpfront
us-east-1,m7i.8xlarge,0.0,0.457,,,,,13.6128,13.6128,13.6128,13.6128,13.6128,13.6128
us-east-1,m7i.large,0.0,0.0296,,,,,0.5808,0.5808,0.5808,0.5808,0.5808,0.5808
us-east-1,m7i.metal-24xl,6.4608,0.7437,,,,,40.8384,40.8384,40.8384,40.8384,40.8384,40.8384
us-east-1,m7i.metal-48xl,0.0,2.476,,,,,32.7168,32.7168,32.7168,32.7168,32.7168,32.7168
us-east-1,m7i.xlarge,0.0,0.0851,,,,,1.7016,1.7016,1.7016,1.7016,1.7016,1.7016
us-east-1,m8g.12xlarge,0.0,0.7793,,,,,2.15424,2.15424,2.15424,2.15424,2.15424,2.15424
us-east-1,m8g.16xlarge,2.87232,0.7477,,,,,2.87232,2.87232,2.87232,2.87232,2.87232,2.87232
us-east-1,m8g.24xlarge,4.30848,1.3758,,,,,4.30848,4.30848,4.30848,4.30848,4.30848,4.30848
us-east-1,m8g.2xlarge,0.0,0.113,,,,,0.35904,0.35904,0.35904,0.35904,0.35904,0.35904
us-east-1,m8g.48xlarge,0.0,3.0174,,,,,8.61696,8.61696,8.61696,8.61696,8.61696,8.61696
us-east-1,m8g.4xlarge,0.71808,0.3159,,,,,0.71808,0.71808,0.71808,0.71808,0.71808,0.71808
us-east-1,m8g.8xlarge,1.43616,0.5511,,,,,1.43616,1.43616,1.43616,1.43616,1.43616,1.43616
us-east-1,m8g.large,0.08976,0.0368,,,,,0.08976,0.08976,0.08976,0.08976,0.08976,0.08976
us-east-1,m8g.medium,0.0,0.0153,,,,,0.04488,0.04488,0.04488,0.04488,0.04488,0.04488
us-east-1,m8g.metal-24xl,0.0,2.2017,,,,,4.30848,4.30848,4.30848,4.30848,4.30848,4.30848
us-east-1,m8g.metal-48xl,8.61696,4.4057,,,,,8.61696,8.61696,8.61696,8.61696,8.61696,8.61696
us-east-1,m8g.xlarge,0.17952,0.0548,,,,,0.17952,0.17952,0.17952,0.17952,0.17952,0.17952
us-east-1,m8gd.12xlarge,2.76768,0.6968,,,,,,,,,,
us-east-1,m8gd.16xlarge,3.69024,0.637,,,,,,,,,,
us-east-1,m8gd.24xlarge,5.53536,1.4659,,,,,,,,,,
us-east-1,m8gd.2xlarge,0.46128,0.459,,,,,,,,,,
us-east-1,m8gd.48xlarge,11.07072,3.61,,,,,,,,,,
us-east-1,m8gd.4xlarge,0.92256,0.8523,,,,,,,,,,
us-east-1,m8gd.8xlarge,1.84512,0.4467,,,,,,,,,,
us-east-1,m8gd.large,0.0,0.0393,,,,,,,,,,
us-east-1,m8gd.medium,0.0,0.0156,,,,,,,,,,
us-east-1,m8gd.metal-24xl,5.53536,1.6958,,,,,,,,,,
us-east-1,m8gd.metal-48xl,11.07072,2.2066,,,,,,,,,,
