priceType,skuName,productName,retailPrice,unitOfMeasure,location,meterName,reservationTerm,currencyCode,armRegionName,serviceName
,Standard_E48bds_v5 Spot,Virtual Machines Ebdsv5 Series Windows,1.166122,1 Hour,US East 2,E48bds v5 Spot,,USD,eastus2,Virtual Machines
,Standard_E48bds_v5 Spot,Virtual Machines Ebdsv5 Series Windows,0.751901,1 Hour,US East 2,E48bds v5 Spot,,USD,eastus2,Virtual Machines
,E32-8s v3,Virtual Machines ESv3 Series,2.128,1 Hour,US East 2,E32-8s v3,,USD,eastus2,Virtual Machines
,E32-8s v3,Virtual Machines ESv3 Series,10961.0,1 Hour,US East 2,E32-8s v3,1 Year,USD,eastus2,Virtual Machines
,E32-8s v3,Virtual Machines ESv3 Series,21027.0,1 Hour,US East 2,E32-8s v3,3 Years,USD,eastus2,Virtual Machines
,E64a v4 Spot,Virtual Machines Eav4 Series Windows,0.908275,1 Hour,US East 2,E64a v4/E64as v4 Spot,,USD,eastus2,Virtual Machines
,E64a v4 Spot,Virtual Machines Eav4 Series Windows,0.524966,1 Hour,US East 2,E64a v4/E64as v4 Spot,,USD,eastus2,Virtual Machines
,F48s v2 Low Priority,Virtual Machines FSv2 Series,0.406,1 Hour,US East 2,F48s v2 Low Priority,,USD,eastus2,Virtual Machines
,Standard_EC64as_v5 Spot,ECasv5-series Windows,5.904,1 Hour,US East 2,EC64as_v5 Spot,,USD,eastus2,Virtual Machines
,Standard_EC64as_v5 Spot,ECasv5-series Windows,3.2544,1 Hour,US East 2,EC64as_v5 Spot,,USD,eastus2,Virtual Machines
,E96a v4 Spot,Virtual Machines Eav4 Series,0.78745,1 Hour,US East 2,E96a v4/E96as v4 Spot,,USD,eastus2,Virtual Machines
,Standard_E104i_v5 Low Priority,Virtual Machines Ev5 Series Windows,4.796,1 Hour,US East 2,E104i v5 Low Priority,,USD,eastus2,Virtual Machines
,Standard_E104i_v5 Low Priority,Virtual Machines Ev5 Series Windows,1.441,1 Hour,US East 2,E104i v5 Low Priority,,USD,eastus2,Virtual Machines
,E20s v5,Virtual Machines Esv5 Series Windows,2.18,1 Hour,US East 2,E20s v5,,USD,eastus2,Virtual Machines
,E20s v5,Virtual Machines Esv5 Series Windows,1.26,1 Hour,US East 2,E20s v5,,USD,eastus2,Virtual Machines
,E2nds v6 Spot,Virtual Machines Endv6 Series Linux,0.0428,1 Hour,US East 2,E2nds v6 Spot,,USD,eastus2,Virtual Machines
,Standard_DC16as_v5 Spot,DCasv5-series Windows,1.2816,1 Hour,US East 2,DC16as v5 Spot,,USD,eastus2,Virtual Machines
,Standard_DC16as_v5 Spot,DCasv5-series Windows,0.6192,1 Hour,US East 2,DC16as v5 Spot,,USD,eastus2,Virtual Machines
,F4s Low Priority,Virtual Machines FS Series Windows,0.153,1 Hour,US East 2,F4s Low Priority,,USD,eastus2,Virtual Machines
,F4s Low Priority,Virtual Machines FS Series Windows,0.0398,1 Hour,US East 2,F4s Low Priority,,USD,eastus2,Virtual Machines
,GS5-16 Spot,Virtual Machines GS Series Windows,1.354754,1 Hour,US East 2,GS5-16 Spot,,USD,eastus2,Virtual Machines
,GS5-16 Spot,Virtual Machines GS Series Windows,1.206626,1 Hour,US East 2,GS5-16 Spot,,USD,eastus2,Virtual Machines
,E64-16s v4 Spot,Virtual Machines Esv4 Series Windows,1.379155,1 Hour,US East 2,E64-16s v4 Spot,,USD,eastus2,Virtual Machines
,E64-16s v4 Spot,Virtual Machines Esv4 Series Windows,0.797126,1 Hour,US East 2,E64-16s v4 Spot,,USD,eastus2,Virtual Machines
,D8ls v6 Spot,Virtual Machines Dlsv6 Series Windows,0.1015,1 Hour,US East 2,D8ls v6 Spot,,USD,eastus2,Virtual Machines
,D8ls v6 Spot,Virtual Machines Dlsv6 Series Windows,0.04998,1 Hour,US East 2,D8ls v6 Spot,,USD,eastus2,Virtual Machines
,D32pds v6,Virtual Machines Dpdsv6 Series,1.469,1 Hour,US East 2,D32pds v6,,USD,eastus2,Virtual Machines
,D32pds v6,Virtual Machines Dpdsv6 Series,7591.0,1 Hour,US East 2,D32pds v6,1 Year,USD,eastus2,Virtual Machines
